,name,lon,lat,dt_s,dt_e
0,AAOT,12.5083,45.3139,2017-10-04 07:38:32,2019-07-22 05:24:25
1,AOE_Baotou,109.6288,40.8517,2013-09-25 08:43:00,2013-12-13 03:57:55
2,ARIAKE_TOWER,130.27195,33.103617,2018-02-23 02:03:30,2019-09-10 23:00:07
3,ARM_Ascension_Is,-14.349806,-7.966964,2016-05-21 13:10:02,2017-10-28 12:42:13
4,ARM_Barnstable_MA,-70.290061,41.669589,2012-07-09 18:31:57,2012-07-26 11:25:15
5,ARM_Cordoba,-64.72837,-32.12641,2018-10-02 10:40:19,2019-04-30 20:58:20
6,ARM_Darwin,130.891,-12.425,2010-08-21 07:56:53,2014-12-24 08:05:53
7,ARM_Gan_Island,73.149896,-0.690597,2011-10-21 11:13:48,2012-02-09 01:56:01
8,ARM_Graciosa,-28.02917,39.09109,2013-09-30 11:43:19,2019-06-24 15:40:02
9,ARM_Highlands_MA,-70.049317,42.030478,2012-07-15 13:31:40,2013-06-26 17:13:33
10,ARM_HyytialaFinland,24.287847,61.843536,2014-01-21 09:49:58,2014-09-13 06:27:49
11,ARM_Macquarie_Is,158.934581,-54.499561,2016-04-20 03:08:49,2018-03-12 06:15:26
12,ARM_Manacapuru,-60.59805600000001,-3.212972,2013-12-20 15:30:31,2015-11-30 14:51:54
13,ARM_McMurdo,166.729722,-77.848889,2015-11-19 05:26:30,2016-12-30 04:30:54
14,ARM_Nainital,79.45827,29.358829999999998,2011-08-29 12:28:25,2012-03-31 12:18:49
15,ARM_Oliktok_AK,-149.88,70.4995,2013-09-23 22:01:14,2019-04-11 03:48:57
16,ARM_SGP,-97.485619,36.605175,2017-10-11 14:59:27,2019-10-06 23:20:51
17,ARM_WAIS,-112.08333300000001,-79.470556,2015-12-10 01:15:09,2016-01-14 05:19:41
18,ASI_Malindi,40.1945,-2.996,2018-04-20 05:02:18,2019-10-31 12:03:48
19,ATHENS-NOA,23.718,37.9721,2008-05-12 04:52:40,2018-09-06 08:35:13
20,Abisko,18.817,68.35,2007-04-27 14:08:42,2007-08-21 12:19:10
21,Abracos_Hill,-62.358332999999995,-10.76,1999-01-22 18:21:47,2005-10-10 20:59:30
22,Abu_Al_Bukhoosh,53.145832999999996,25.495,2004-09-20 11:02:00,2008-11-28 03:44:36
23,Abu_Dhabi,54.328889000000004,24.476111,2004-06-09 05:08:00,2005-07-11 12:24:16
24,Adelaide_Site_7,138.656483,-34.725066999999996,2006-02-26 21:42:51,2007-03-28 21:51:06
25,AgiaMarina_Xyliatou,33.0577,35.038,2015-05-13 04:13:25,2019-06-13 07:48:34
26,Agoufou,-1.479117,15.3454,2002-10-02 16:37:40,2011-04-28 10:15:05
27,Agri_School,-56.180279000000006,-10.080833,1994-08-19 13:01:51,1994-08-20 15:01:39
28,Aguas_Emendadas,-47.6563,-15.58175,2000-01-14 14:05:20,2000-05-23 11:53:11
29,Aguascalientes,-102.32,21.7,1998-05-24 21:13:18,1998-05-26 20:28:34
30,Ahi_De_Cara,-3.43,37.12,2002-07-09 06:36:05,2002-07-10 10:04:25
31,Ahmedabad,72.516667,23.016667,2007-04-09 09:57:24,2007-04-16 07:25:37
32,Aire_Adour,0.25,43.7,1996-05-19 07:28:29,2001-10-10 16:03:53
33,Al_Ain,55.705167,24.242167000000002,2006-08-17 08:07:31,2006-10-01 04:56:07
34,Al_Dhafra,54.54966700000001,24.254278,2001-01-11 12:01:55,2001-09-09 11:50:32
35,Al_Khaznah,55.100556000000005,24.158610999999997,2004-06-02 10:07:36,2004-09-20 12:49:53
36,Al_Qlaa,53.033333,24.133333,2004-06-23 10:30:43,2004-08-25 08:00:56
37,Albergue_UGR,-3.386989,37.095597999999995,2016-06-07 15:58:06,2018-11-08 13:43:07
38,Alboran,-3.3529699999999996,35.939625,2011-06-20 09:31:34,2012-01-23 12:34:05
39,Albuquerque,-106.535836,35.051671999999996,1999-04-13 19:22:29,1999-06-14 22:08:19
40,Alishan,120.81341,23.50844,2016-04-05 07:15:03,2016-04-27 09:42:53
41,Alkali_Lake,-117.382,37.8588,2018-09-02 16:44:19,2019-08-22 19:32:31
42,Alta_Floresta,-56.104453,-9.871339,1993-06-21 13:31:51,2019-02-26 19:40:10
43,Amazon_ATTO_Tower,-58.999867,-2.1441169999999996,2016-02-22 19:40:33,2019-09-20 20:58:59
44,American_Samoa,-170.5644,-14.2472,2014-07-13 02:58:08,2019-06-08 03:27:33
45,Ames,-93.774778,42.021361,2004-05-21 17:57:52,2019-03-11 23:28:47
46,Amity_Univ_Gurgaon,76.916031,28.317328999999997,2017-05-17 08:49:48,2019-07-19 09:29:09
47,Amsterdam_Island,77.571946,-37.799544,2002-12-30 12:59:54,2019-12-11 04:43:35
48,Andenes,16.008611,69.27833299999999,2002-06-04 05:15:22,2018-05-31 08:03:49
49,Andros_Island,-77.8,24.7,1998-06-18 20:12:54,1998-09-21 18:37:48
50,Angiola,-119.538,35.947,2000-12-21 22:42:12,2001-01-27 18:41:37
51,Anmyon,126.33019399999999,36.538537,1999-09-25 00:18:17,2019-11-20 23:23:06
52,AntarcticaDomeC,123.331299,-75.099953,2003-01-15 03:12:04,2004-01-26 11:51:11
